table,panel,model,outcome,term,b,se,pval,n,r2,vce
llm_matrix,B,bp_llmstrictnessscore_v4,ebac,z_bp_llmstrictnessscore_v4,-.0085784785683901,.0084161397700682,.3081618443458725,2745,.457534074198592,cluster
llm_matrix,A,bp_llmstrictnessscore_v4,open,z_bp_llmstrictnessscore_v4,-.0099894993719221,.0084235651695948,.2357609597355502,3065,.3498635814431243,cluster
llm_matrix,B,bp_llmstrictnessscore_v4,open,z_bp_llmstrictnessscore_v4,-.0105348890184968,.0086576684679824,.2237817194152502,2745,.3608104363136986,cluster
llm_matrix,A,bp_llmwarmthscore_v4,overall,z_bp_llmwarmthscore_v4,-.0170058528020499,.0070192769622229,.0154660746930829,3065,.4569861471126612,cluster
llm_matrix,B,bp_llmwarmthscore_v4,overall,z_bp_llmwarmthscore_v4,-.0152122789962618,.0071922402030263,.0345178671865518,2745,.4653910481514014,cluster
llm_matrix,A,bp_llmwarmthscore_v4,english,z_bp_llmwarmthscore_v4,-.0105508496805537,.008151282204916,.1956393573698248,3065,.4043394020983662,cluster
llm_matrix,B,bp_llmwarmthscore_v4,english,z_bp_llmwarmthscore_v4,-.0086830559288651,.0084179950784075,.3024094816829211,2745,.4073256151946889,cluster
llm_matrix,A,bp_llmwarmthscore_v4,maths,z_bp_llmwarmthscore_v4,-.0151744661004125,.0069600978411233,.0293235444384784,3065,.4176625052985673,cluster
llm_matrix,B,bp_llmwarmthscore_v4,maths,z_bp_llmwarmthscore_v4,-.0112554176304363,.007189889576302,.117600528275057,2745,.4198720843207451,cluster
llm_matrix,A,bp_llmwarmthscore_v4,ebac,z_bp_llmwarmthscore_v4,-.0173665228105364,.0080211472352794,.0304633635044956,3065,.4526904573433677,cluster
llm_matrix,B,bp_llmwarmthscore_v4,ebac,z_bp_llmwarmthscore_v4,-.0152828242757032,.0082457427483897,.0639368522483654,2745,.4580402176516079,cluster
llm_matrix,A,bp_llmwarmthscore_v4,open,z_bp_llmwarmthscore_v4,-.022186315323836,.0084018530568052,.008319980715957,3065,.3511556756492644,cluster
llm_matrix,B,bp_llmwarmthscore_v4,open,z_bp_llmwarmthscore_v4,-.0220716414136272,.0085773708681143,.0101307744448066,2745,.3620912472235586,cluster
